reg_code;reg_name;road_code;road_name;road_type;oktmo;address;crash_type_name;crash_date;crash_time;crash_reason;fatalities_amount;victims_amount;vehicles_amount;participants_amount;latitude;longitude
32;Кемеровская область;Р-255;"""Сибирь"" Новосибирск - Кемерово - Красноярск – Иркутск (основное направление)";Федеральная дорога общего пользования;32604420;СФО, Кемеровская область, Ижморский район, Красноярский;Опрокидывание;20181217;2:10:00;Несоответствие скорости конкретным условиям движения;1;0;2;12;55.82038;86.75972
37;Курганская область;Р-254;Подъезд к городу Тюмень от а/д Р-254;Федеральная дорога общего пользования;37604000;УФО, Курганская область, Белозерский район;Наезд на пешехода;20181217;2:00:00;Нарушение правил расположения ТС на проезжей части, Иные нарушения ПДД пешеходом;0;1;1;2;55.593661;65.454644
19;Вологодская область;А-114;"Вологда - Тихвин - автомобильная дорога Р-21 ""Кола"" (основное направление)";Федеральная дорога общего пользования;19654000;СЗФО, Вологодская область, Чагодощенский район;Столкновение;20181217;0:50:00;Неправильный выбор дистанции;1;0;2;2;59.233757;35.059776
46;Московская область;М-7;"""Волга"" Москва - Владимир - Нижний Новгород - Казань - Уфа (основное направление)";Федеральная дорога общего пользования;;ЦФО, Московская область, Городской округ Балашиха;Наезд на стоящее ТС;20181217;0:20:00;Превышение установленной скорости движения;2;0;3;3;55.782655;37.866697
46;Московская область;М-10;"""Россия"" Москва - Тверь - Великий Новгород - Санкт-Петербург (основное направление)";Федеральная дорога общего пользования;46621101;ЦФО, Московская область, Клинский район, Клин;Столкновение;20181217;0:10:00;Несоблюдение очередности проезда;2;0;2;2;56.331172;36.72883
20;Воронежская область;;АННА-БОБРОВ;Региональная или межмуниципальная дорога общего пользования;20604000;ЦФО, Воронежская область, Бобровский район;Опрокидывание;20181216;23:50:00;Нарушение правил расположения ТС на проезжей части;1;0;1;2;51.129573;40.037184
63;Саратовская область;;"""автоподъезд к ст. Кологривовка - д. Полянское от автомобильной дороги """"Тамбов - Ртищево - Саратов"""", на участке км0000 км7715""";Региональная или межмуниципальная дорога общего пользования;63646000;ПФО, Саратовская область, Татищевский район;Опрокидывание;20181216;23:20:00;Несоответствие скорости конкретным условиям движения;2;0;1;2;51.723267;45.253758
17;Владимирская область;М-7;"""Волга"" Москва - Владимир - Нижний Новгород - Казань - Уфа (основное направление)";Федеральная дорога общего пользования;17652000;ЦФО, Владимирская область, Судогодский район;Наезд на стоящее ТС;20181216;22:55:00;Нарушение правил расположения ТС на проезжей части;2;0;2;4;56.061159;40.453291
3;Краснодарский край;;ст.Тбилисская-ст.Нововладимировская;Региональная или межмуниципальная дорога общего пользования;3649419;ЮФО, Краснодарский край, Тбилисский район, Тбилисский;Столкновение;20181216;22:06:00;Выезд на полосу встречного движения;1;0;2;2;45.489742;40.155544
33;Кировская область;;Киров - Малмыж - Вятские Поляны;Региональная или межмуниципальная дорога общего пользования;33641000;ПФО, Кировская область, Уржумский район;Съезд с дороги;20181216;22:00:00;Другие нарушения ПДД водителями;1;0;1;2;57.156145;49.953461
